"Year","Quarter","Fleet","Area","Catch_lbs"
2012,3,"UScom","CAR",9.41123027044523
2012,4,"UScom","CAR",0
2013,1,"UScom","CAR",0
2013,2,"UScom","CAR",321.164859002169
2013,3,"UScom","CAR",0
2013,4,"UScom","CAR",215.904044117647
2014,1,"UScom","CAR",772.8
2014,2,"UScom","CAR",547.89432570255
2014,3,"UScom","CAR",0
2014,4,"UScom","CAR",0
2015,1,"UScom","CAR",1002.46037700771
2015,2,"UScom","CAR",0
2015,3,"UScom","CAR",0
2015,4,"UScom","CAR",0
2016,1,"UScom","CAR",0
2016,2,"UScom","CAR",775.969144513246
2016,3,"UScom","CAR",673.715842173107
2016,4,"UScom","CAR",1093.88727714749
2017,1,"UScom","CAR",1408.30126829268
2017,2,"UScom","CAR",14.0473798189058
2017,3,"UScom","CAR",357.530442641234
2017,4,"UScom","CAR",0
2018,1,"UScom","CAR",0
2018,2,"UScom","CAR",0
2018,3,"UScom","CAR",0
2018,4,"UScom","CAR",0
2019,1,"UScom","CAR",0
2019,2,"UScom","CAR",0
2019,3,"UScom","CAR",0
2019,4,"UScom","CAR",0
2020,1,"UScom","CAR",0
2020,2,"UScom","CAR",0
2020,3,"UScom","CAR",0
2020,4,"UScom","CAR",0
2021,1,"UScom","CAR",0
2021,2,"UScom","CAR",0
2021,3,"UScom","CAR",0
2021,4,"UScom","CAR",0
2022,1,"UScom","CAR",0
2022,2,"UScom","CAR",0
2022,3,"UScom","CAR",0
2022,4,"UScom","CAR",0
1986,1,"UScom","FLK",7368.86980297094
1986,2,"UScom","FLK",46113.6164198044
1986,3,"UScom","FLK",57533.658074195
1986,4,"UScom","FLK",24496.8082513258
1987,1,"UScom","FLK",16491.2749020848
1987,2,"UScom","FLK",28800.0950711373
1987,3,"UScom","FLK",57221.0939775357
1987,4,"UScom","FLK",5632.3628056203
1988,1,"UScom","FLK",3957.77215623852
1988,2,"UScom","FLK",38122.3871262434
1988,3,"UScom","FLK",64927.0956145318
1988,4,"UScom","FLK",15629.0306970694
1989,1,"UScom","FLK",19503.5178376438
1989,2,"UScom","FLK",61259.9800548211
1989,3,"UScom","FLK",150124.062411973
1989,4,"UScom","FLK",38785.5214575823
1990,1,"UScom","FLK",23117.2057511897
1990,2,"UScom","FLK",126003.482887535
1990,3,"UScom","FLK",149649.209799839
1990,4,"UScom","FLK",32015.9583570567
1991,1,"UScom","FLK",32362.3823257298
1991,2,"UScom","FLK",84822.3917544218
1991,3,"UScom","FLK",351086.944694938
1991,4,"UScom","FLK",103563.08644093
1992,1,"UScom","FLK",35417.6364294312
1992,2,"UScom","FLK",108516.879017739
1992,3,"UScom","FLK",109262.168307855
1992,4,"UScom","FLK",22054.1334435687
1993,1,"UScom","FLK",27172.9242213848
1993,2,"UScom","FLK",125876.74216852
1993,3,"UScom","FLK",128840.982260419
