"Year","Quarter","Fleet","Area","Catch_lbs"
1988,1,"ForHire","NNC",0
1988,2,"ForHire","NNC",780784.3100275
1988,3,"ForHire","NNC",229488.4860275
1988,4,"ForHire","NNC",104354.25237
1989,1,"ForHire","NNC",0
1989,2,"ForHire","NNC",1331147.0877
1989,3,"ForHire","NNC",456627.474376
1989,4,"ForHire","NNC",181917.43225595
1990,1,"ForHire","NNC",1084.23824595
1990,2,"ForHire","NNC",1298743.78719
1990,3,"ForHire","NNC",276237.04979
1990,4,"ForHire","NNC",174724.46826241
1991,1,"ForHire","NNC",260.24549341
1991,2,"ForHire","NNC",1111537.5177668
1991,3,"ForHire","NNC",338622.774075
1991,4,"ForHire","NNC",256499.96511705
1992,1,"ForHire","NNC",91.23981705
1992,2,"ForHire","NNC",1074641.727375
1992,3,"ForHire","NNC",405659.141982
1992,4,"ForHire","NNC",139384.18643
1993,1,"ForHire","NNC",0
1993,2,"ForHire","NNC",1026905.0891
1993,3,"ForHire","NNC",396118.227185
1993,4,"ForHire","NNC",132715.377112975
1994,1,"ForHire","NNC",111.400682975
1994,2,"ForHire","NNC",989642.46377571
1994,3,"ForHire","NNC",584375.24510271
1994,4,"ForHire","NNC",135125.56548625
1995,1,"ForHire","NNC",4838.70464625
1995,2,"ForHire","NNC",1163134.1383
1995,3,"ForHire","NNC",359621.49451
1995,4,"ForHire","NNC",150128.0374417
1996,1,"ForHire","NNC",551.8139517
1996,2,"ForHire","NNC",627230.730085
1996,3,"ForHire","NNC",226632.78750504
1996,4,"ForHire","NNC",69149.3746074
1997,1,"ForHire","NNC",115.9216214
1997,2,"ForHire","NNC",1305418.09893522
1997,3,"ForHire","NNC",538424.740762
1997,4,"ForHire","NNC",283838.62279905
1998,1,"ForHire","NNC",1790.00016905
1998,2,"ForHire","NNC",1286262.4415865
1998,3,"ForHire","NNC",372007.3119722
1998,4,"ForHire","NNC",262721.576268186
1999,1,"ForHire","NNC",842.74799845
1999,2,"ForHire","NNC",1408220.89949945
1999,3,"ForHire","NNC",432012.060853
1999,4,"ForHire","NNC",174214.33160028
2000,1,"ForHire","NNC",304.99594168
2000,2,"ForHire","NNC",2310664.43255
2000,3,"ForHire","NNC",531426.5261118
2000,4,"ForHire","NNC",297339.51494716
2001,1,"ForHire","NNC",125.50340716
2001,2,"ForHire","NNC",1246703.017725
2001,3,"ForHire","NNC",191223.512554
2001,4,"ForHire","NNC",200104.9032774
2002,1,"ForHire","NNC",676.1107774
2002,2,"ForHire","NNC",1545058.90393
2002,3,"ForHire","NNC",1004863.815418
2002,4,"ForHire","NNC",454066.2064137
2003,1,"ForHire","NNC",1183.9992037
2003,2,"ForHire","NNC",674399.031675
2003,3,"ForHire","NNC",213095.300745
2003,4,"ForHire","NNC",35237.9331705
2004,1,"ForHire","NNC",6161.7448815
2004,2,"ForHire","NNC",893497.2814386
2004,3,"ForHire","NNC",148990.966608
2004,4,"ForHire","NNC",73884.859023
2005,1,"ForHire","NNC",0
2005,2,"ForHire","NNC",2585572.42796
2005,3,"ForHire","NNC",336981.4873453
2005,4,"ForHire","NNC",230277.44385465
2006,1,"ForHire","NNC",649.52674465
2006,2,"ForHire","NNC",1798732.552745
2006,3,"ForHire","NNC",404133.4366446
2006,4,"ForHire","NNC",427160.454792
2007,1,"ForHire","NNC",26379.66425149
2007,2,"ForHire","NNC",1993879.41817268
2007,3,"ForHire","NNC",498074.71399
2007,4,"ForHire","NNC",25903.881192285
2008,1,"ForHire","NNC",406.588120285
2008,2,"ForHire","NNC",1103120.685923
2008,3,"ForHire","NNC",407834.525168
2008,4,"ForHire","NNC",85704.582088
2009,1,"ForHire","NNC",24206.071899
2009,2,"ForHire","NNC",634407.33177
2009,3,"ForHire","NNC",195210.6095809
2009,4,"ForHire","NNC",96114.53641815
2010,1,"ForHire","NNC",2687.38133615
2010,2,"ForHire","NNC",787052.251825
2010,3,"ForHire","NNC",489807.5099663
2010,4,"ForHire","NNC",107080.515433955
2011,1,"ForHire","NNC",494.650425855
2011,2,"ForHire","NNC",1081341.26904294
2011,3,"ForHire","NNC",412117.7608115
2011,4,"ForHire","NNC",82709.65597935
2012,1,"ForHire","NNC",1942.78626855
2012,2,"ForHire","NNC",652999.382295
2012,3,"ForHire","NNC",487251.719121
2012,4,"ForHire","NNC",94178.2139237
2013,1,"ForHire","NNC",1180.40012837
2013,2,"ForHire","NNC",382917.761675
2013,3,"ForHire","NNC",84694.8240044
2013,4,"ForHire","NNC",171922.7428052
