"Year","Region Name","Pounds","Dollars","Collection","Metric Tons"
"2002","Middle Atlantic","1,295,470","","Recreational","588"
"2003","Gulf","310,836","407,834","Commercial","141"
"2003","Gulf","4,481,937","","Recreational","2,033"
"2003","New England","21,275","39,748","Commercial","10"
"2003","New England","129,513","","Recreational","59"
"2003","South Atlantic","459,351","757,636","Commercial","208"
"2003","South Atlantic","12,112,718","","Recreational","5,494"
"2003","Middle Atlantic","46,851","96,413","Commercial","21"
"2003","Middle Atlantic","929,763","","Recreational","422"
"2004","Gulf","435,341","606,488","Commercial","197"
"2004","Gulf","2,402,315","","Recreational","1,090"
"2004","New England","29,042","57,446","Commercial","13"
"2004","New England","","","Recreational",""
"2004","South Atlantic","555,973","966,235","Commercial","252"
"2004","South Atlantic","9,707,678","","Recreational","4,403"
"2004","Middle Atlantic","31,916","61,479","Commercial","14"
"2004","Middle Atlantic","427,145","","Recreational","194"
"2005","Gulf","207,695","304,223","Commercial","94"
"2005","Gulf","2,537,132","","Recreational","1,151"
"2005","New England","19,982","39,151","Commercial","9"
"2005","New England","","","Recreational",""
"2005","South Atlantic","376,989","704,254","Commercial","171"
"2005","South Atlantic","10,299,670","","Recreational","4,672"
"2005","Middle Atlantic","19,703","39,271","Commercial","9"
"2005","Middle Atlantic","437,472","","Recreational","198"
"2006","Gulf","224,668","332,708","Commercial","102"
"2006","Gulf","3,290,474","","Recreational","1,493"
"2006","New England","19,645","34,180","Commercial","9"
"2006","South Atlantic","433,121","799,934","Commercial","196"
"2006","South Atlantic","12,805,952","","Recreational","5,809"
"2006","Middle Atlantic","27,724","48,993","Commercial","13"
"2006","Middle Atlantic","887,684","","Recreational","403"
"2007","Gulf","370,423","601,167","Commercial","168"
"2007","Gulf","3,754,513","","Recreational","1,703"
"2007","New England","40,141","77,007","Commercial","18"
"2007","New England","19,542","","Recreational","9"
"2007","South Atlantic","739,862","1,436,243","Commercial","336"
"2007","South Atlantic","13,164,377","","Recreational","5,971"
"2007","Middle Atlantic","77,553","139,440","Commercial","35"
"2007","Middle Atlantic","241,212","","Recreational","109"
"2008","Gulf","385,011","697,619","Commercial","175"
"2008","Gulf","3,937,153","","Recreational","1,786"
"2008","New England","13,448","30,677","Commercial","6"
"2008","South Atlantic","627,506","1,198,607","Commercial","285"
"2008","South Atlantic","10,417,536","","Recreational","4,725"
"2008","Middle Atlantic","53,013","110,820","Commercial","24"
"2008","Middle Atlantic","264,017","","Recreational","120"
"2009","Gulf","497,246","715,405","Commercial","226"
