"year","season","Hire_FLK","Hire_NCFL","Hire_NNC","Hire_VBM","Rec_FLK","Rec_NCFL","Rec_NNC","Rec_VBM","yrseas"
1999,"SON",126835.858072075,24273.8519184175,174214.33160028,687.350188,446539.998351,114749.1645762,438366.09495,256782.820762,1999.875
2000,"DJF",83155.900321275,9786.4025321175,304.99594168,80.644268,388395.733376,23423.0881335,0,0,2000.125
2000,"JJA",726519.1968505,220955.915619,2310664.43255,1590.883452,6358021.92149,1292908.88557645,482223.84043,1440372.6028418,2000.375
2000,"MAM",430859.8328302,100410.92606766,531426.5261118,431.88114,4543957.05274,1223197.12037345,308657.0631,0,2000.625
2000,"SON",250268.52470185,36916.9468245565,297339.51494716,983.9473865,1945322.41967,244407.48752,36099.43349,168106.317238,2000.875
2001,"DJF",246074.50424615,14442.8854407565,125.50340716,9.876608,734792.791028,304307.365338,0,0,2001.125
2001,"JJA",1233225.612256,709993.7863702,1246703.017725,18490.68546515,5589527.8009055,1526795.878791,1306376.495575,287941.9164574,2001.375
2001,"MAM",717020.81191,332357.609856691,191223.512554,3416.47083065,4428842.2965155,1626879.369163,440718.426265,59775.0306197,2001.625
2001,"SON",135349.53805565,36697.15139727,200104.9032774,12417.09462677,1006040.29327,140064.9683615,13626.2223446,24906.3256158,2001.875
2002,"DJF",125003.12412915,3452.58183699,676.1107774,10.989931,557625.011104,40233.4508745,0,0,2002.125
2002,"JJA",704266.5655169,1067933.08075535,1545058.90393,86805.81877144,2214085.121685,958974.9573468,571494.80019,606075.9303095,2002.375
2002,"MAM",821498.92067015,887693.73995105,1004863.815418,66142.4421165,2925740.59884,770420.731847,214939.453747,159947.4314415,2002.625
2002,"SON",214494.3754464,35282.556775175,454066.2064137,15396.32420458,1707998.934653,594701.8772653,85496.406094,966332.6743728,2002.875
2003,"DJF",117321.85484232,3840.700457275,1183.9992037,62.224835,1456262.994025,199636.271872,0,0,2003.125
2003,"JJA",603789.3131097,531861.45758411,674399.031675,14439.15691172,4995938.623785,1196274.9222335,609770.245155,122391.0837474,2003.375
2003,"MAM",459229.1016984,404837.02098287,213095.300745,246.937246,3649029.585379,519857.6213495,239310.118283,0,2003.625
2003,"SON",130618.55537518,15385.31617385,35237.9331705,41004.32493686,782734.247079,56402.9202636,19119.890807,782389.4738278,2003.875
2004,"DJF",166555.4143623,4478.34397855,6161.7448815,0,967221.947621,55879.6681305,0,0,2004.125
2004,"JJA",653724.88527765,229784.1828939,893497.2814386,115295.31503711,2849331.859308,699662.7681845,113004.2760335,128301.9651217,2004.375
2004,"MAM",653926.21006755,521351.417325,148990.966608,1585.9207506,2248755.055419,590359.1788295,475980.8962735,0,2004.625
2004,"SON",69916.29262783,16440.82275473,73884.859023,38549.90848158,359908.9980595,30854.2637059,2136.27196365,58236.601403,2004.875
2005,"DJF",86171.53535653,6818.6924717,0,79.652198,523706.5143324,25660.5276725,2136.27196365,0,2005.125
2005,"JJA",382356.90052425,429518.91101145,2585572.42796,28650.57043881,2074779.922636,731003.1028375,590686.851555,275682.1871406,2005.375
2005,"MAM",363480.82080765,292372.36664158,336981.4873453,325.597374,1481261.69372,1137112.7887695,259517.818361,0,2005.625
2005,"SON",42818.86226045,7924.776817515,230277.44385465,9044.385673684,428496.5378755,25478.197472,54155.539834,213554.26385,2005.875
2006,"DJF",62469.35467685,2665.228320695,649.52674465,0,771447.5006575,5351.814935,0,0,2006.125
2006,"JJA",294535.67194305,199646.727026765,1798732.552745,69079.453088294,2360906.252433,848727.32361815,607972.99461,683153.7834845,2006.375
2006,"MAM",294775.00932075,107771.629698755,404133.4366446,2770.928480394,4707928.75331,785311.78619315,106908.48715,111167.1609095,2006.625
2006,"SON",47416.34543235,174475.82335315,427160.454792,64863.6404687,720707.6341085,72686.3269049,28717.38925,420176.095318,2006.875
2007,"DJF",34335.60495542,2214.669272748,26379.66425149,1.455036,1687929.8679335,158254.3387485,5942.542279,0,2007.125
2007,"JJA",329146.16641891,266827.494682055,1993879.41817268,24364.817506149,3048184.896547,1269099.050498,744613.91755,208924.036115,2007.375
2007,"MAM",304761.431481,232507.939096046,498074.71399,2983.203521681,2545278.346088,971785.127461,491176.51816,0,2007.625
2007,"SON",48542.9160542,3984.22698971085,25903.881192285,57545.4966411,1088888.601103,29406.606676,163825.899279,27845.086456,2007.875
2008,"DJF",82137.7010311,3435.10277011225,406.588120285,14.781843,459939.616505,26690.282285,84014.255115,0,2008.125
2008,"JJA",314521.53025196,563053.179497252,1103120.685923,96702.1943488348,3741867.724773,506709.1484953,152061.013842,66597.2980168,2008.375
2008,"MAM",280460.56730035,629622.006181045,407834.525168,891.4606296618,2419131.418834,1070780.381847,71504.17105,22482.0478475,2008.625
2008,"SON",47151.73911685,27971.7629534505,85704.582088,15999.221878046,1130457.913654,29708.826622,0,7739.1154137,2008.875
2009,"DJF",173135.18467615,15535.53778847,24206.071899,0,1060550.801232,24015.200943,0,0,2009.125
2009,"JJA",403219.76107479,243736.963076377,634407.33177,81529.3670470386,2307626.664698,1689310.91431675,1264627.51024,1573958.1685471,2009.375
2009,"MAM",392618.49777265,204896.680893345,195210.6095809,14133.8205035766,2391186.302147,2046079.48850705,1087705.72285,3543.8904571,2009.625
2009,"SON",53270.0288009,5340.979555674,96114.53641815,10599.727607,973978.720361,35949.5298129,6844.5838839,30416.945283,2009.875
2010,"DJF",36159.585359,3657.414029104,2687.38133615,0,914196.22597,24546.07331,22325.894713,0,2010.125
2010,"JJA",268780.94918123,285663.795009165,787052.251825,98190.1839577455,1487555.3826935,879638.4685068,653463.1756,511433.969389,2010.375
2010,"MAM",219366.65063613,224478.983709875,489807.5099663,1138.7115611455,1119817.5251252,2247154.5222004,404357.90877,5630.437949,2010.625
2010,"SON",33211.94235677,21917.9448984001,107080.515433955,20721.5148965325,583585.6510205,12406.576566,30332.75136,200346.450696,2010.875
2011,"DJF",22451.8724419,1988.053334012,494.650425855,0,158545.1318325,34555.637735,0,0,2011.125
2011,"JJA",351610.3155254,179812.344981773,1081341.26904294,15128.9647093328,2840895.191238,917826.58094,1069910.85102,2626410.052235,2011.375
2011,"MAM",284314.282535,82248.536027065,412117.7608115,1250.1534505055,1874901.968145,541245.590724,469889.15094,0,2011.625
2011,"SON",83166.5480389,11390.0759794324,82709.65597935,1465.610805824,1027396.494889,157468.63925,523515.639595,0,2011.875
2012,"DJF",80490.7980542,2961.1052124756,1942.78626855,0,583236.32173,0,2302.0635369,0,2012.125
2012,"JJA",341958.3777552,276676.108909465,652999.382295,15359.5124532547,1913413.34181,874624.064861,490794.28278,1041694.281717,2012.375
2012,"MAM",349972.4152535,270166.690153597,487251.719121,2296.60893398965,2147562.24404,1894417.85635,390222.190658,0,2012.625
2012,"SON",97029.86698268,66067.0781205441,94178.2139237,4231.196373728,1229421.78382465,98557.1643577,176165.500059,0,2012.875
2013,"DJF",70752.56293198,1779.38402772105,1180.40012837,0,390521.92358565,21440.509465,23123.025689,0,2013.125
2013,"JJA",334605.1623757,219435.778712346,382917.761675,10367.3531007112,5642922.797515,1133952.15115209,409412.0786225,137491.1306563,2013.375
2013,"MAM",151239.695893,157523.56650405,84694.8240044,871.402361769294,3496798.03301,873979.146019595,123390.5100925,0,2013.625
2013,"SON",59905.9349671,15666.2020924412,171922.7428052,4825.5146273235,622306.011487,34884.79355496,7874.3721436,227001.1555439,2013.875
2014,"DJF",38646.7187483,4518.2153066346,639.8102072,0.493050407969153,626084.3142042,0,0,0,2014.125
