"JURISDICTION","AREA","SCIENTIFIC_NAME","YEAR","Landings_Tonnes"
"Belize","21","Coryphaena hippurus",2022,20.051
"Canada","21","Coryphaena hippurus",2022,2.545
"Spain","21","Coryphaena hippurus",2022,0.439
"United States of America","21","Coryphaena hippurus",2022,25
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2022,0
"Antigua and Barbuda","31","Coryphaena hippurus",2022,25
"Barbados","31","Coryphaena hippurus",2022,137.399
"Belize","31","Coryphaena hippurus",2022,0
"Bermuda","31","Coryphaena hippurus",2022,2
"British Virgin Islands","31","Coryphaena hippurus",2022,0
"Costa Rica","31","Coryphaena hippurus",2022,5.058
"Cuba","31","Coryphaena hippurus",2022,8
"Dominica","31","Coryphaena hippurus",2022,70
"Dominican Republic","31","Coryphaena hippurus",2022,900
"Grenada","31","Coryphaena hippurus",2022,51.729
"Guadeloupe","31","Coryphaena hippurus",2022,296
"Martinique","31","Coryphaena hippurus",2022,142
"Mexico","31","Coryphaena hippurus",2022,36.126
"Nicaragua","31","Coryphaena hippurus",2022,0.02
"Puerto Rico","31","Coryphaena hippurus",2022,53.843
"Saint Kitts and Nevis","31","Coryphaena hippurus",2022,15
"Saint Lucia","31","Coryphaena hippurus",2022,288.34
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2022,70
"Spain","31","Coryphaena hippurus",2022,0.145
"Trinidad and Tobago","31","Coryphaena hippurus",2022,5.835
"United States Virgin Islands","31","Coryphaena hippurus",2022,15
"United States of America","31","Coryphaena hippurus",2022,78
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2022,57.86
"Belize","21","Coryphaena hippurus",2021,10.858
"Canada","21","Coryphaena hippurus",2021,3.522
"Portugal","21","Coryphaena hippurus",2021,0.9
"Spain","21","Coryphaena hippurus",2021,0.423
"United States of America","21","Coryphaena hippurus",2021,29
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2021,0
"Antigua and Barbuda","31","Coryphaena hippurus",2021,25
"Barbados","31","Coryphaena hippurus",2021,121
"Belize","31","Coryphaena hippurus",2021,0
"Bermuda","31","Coryphaena hippurus",2021,7
"British Virgin Islands","31","Coryphaena hippurus",2021,3.45
"Costa Rica","31","Coryphaena hippurus",2021,10.746
"Cuba","31","Coryphaena hippurus",2021,9
"Dominica","31","Coryphaena hippurus",2021,69
"Dominican Republic","31","Coryphaena hippurus",2021,880.716
"France","31","Coryphaena hippurus",2021,692.761
"Grenada","31","Coryphaena hippurus",2021,70.031
"Guadeloupe","31","Coryphaena hippurus",2021,585.658
"Martinique","31","Coryphaena hippurus",2021,107.103
"Mexico","31","Coryphaena hippurus",2021,40.426
"Puerto Rico","31","Coryphaena hippurus",2021,46
"Saint Kitts and Nevis","31","Coryphaena hippurus",2021,12.643
"Saint Lucia","31","Coryphaena hippurus",2021,276.27
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2021,69.807
"Spain","31","Coryphaena hippurus",2021,0.03
"Trinidad and Tobago","31","Coryphaena hippurus",2021,5.243
"United States Virgin Islands","31","Coryphaena hippurus",2021,13.94
"United States of America","31","Coryphaena hippurus",2021,82
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2021,36.164
"Belize","21","Coryphaena hippurus",2020,20.73
"Canada","21","Coryphaena hippurus",2020,4.402
"Spain","21","Coryphaena hippurus",2020,0.153
"United States of America","21","Coryphaena hippurus",2020,31
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2020,0
"Antigua and Barbuda","31","Coryphaena hippurus",2020,20
"Barbados","31","Coryphaena hippurus",2020,150
"Belize","31","Coryphaena hippurus",2020,0
"Bermuda","31","Coryphaena hippurus",2020,2.3
"British Virgin Islands","31","Coryphaena hippurus",2020,0
"Costa Rica","31","Coryphaena hippurus",2020,30.792
"Cuba","31","Coryphaena hippurus",2020,10
"Dominica","31","Coryphaena hippurus",2020,107
"Dominican Republic","31","Coryphaena hippurus",2020,702.46
"France","31","Coryphaena hippurus",2020,838.272
"Grenada","31","Coryphaena hippurus",2020,80
"Guadeloupe","31","Coryphaena hippurus",2020,707.146
"Martinique","31","Coryphaena hippurus",2020,131.126
"Mexico","31","Coryphaena hippurus",2020,16.152
"Puerto Rico","31","Coryphaena hippurus",2020,57.926
"Saint Kitts and Nevis","31","Coryphaena hippurus",2020,22
"Saint Lucia","31","Coryphaena hippurus",2020,302.39
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2020,116.653
"Spain","31","Coryphaena hippurus",2020,0.51
"Trinidad and Tobago","31","Coryphaena hippurus",2020,4.083
"United States Virgin Islands","31","Coryphaena hippurus",2020,9.835
"United States of America","31","Coryphaena hippurus",2020,107
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2020,35.916
"Belize","21","Coryphaena hippurus",2019,17
"Canada","21","Coryphaena hippurus",2019,13.106
"Spain","21","Coryphaena hippurus",2019,0.322
"United States of America","21","Coryphaena hippurus",2019,124
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2019,284.894
"Antigua and Barbuda","31","Coryphaena hippurus",2019,22
"Barbados","31","Coryphaena hippurus",2019,186
"Belize","31","Coryphaena hippurus",2019,0
"Bermuda","31","Coryphaena hippurus",2019,5
"British Virgin Islands","31","Coryphaena hippurus",2019,1
"Costa Rica","31","Coryphaena hippurus",2019,35.425
"Cuba","31","Coryphaena hippurus",2019,10
"Dominica","31","Coryphaena hippurus",2019,227
"Dominican Republic","31","Coryphaena hippurus",2019,494.762
"France","31","Coryphaena hippurus",2019,890.263
"Grenada","31","Coryphaena hippurus",2019,90
"Guadeloupe","31","Coryphaena hippurus",2019,777.065
"Martinique","31","Coryphaena hippurus",2019,113.198
"Mexico","31","Coryphaena hippurus",2019,21.878
"Other NEI","31","Coryphaena hippurus",2019,0
"Puerto Rico","31","Coryphaena hippurus",2019,42.583
"Saint Kitts and Nevis","31","Coryphaena hippurus",2019,30
"Saint Lucia","31","Coryphaena hippurus",2019,388.09
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2019,99
"Trinidad and Tobago","31","Coryphaena hippurus",2019,5.098
"United States Virgin Islands","31","Coryphaena hippurus",2019,8.508
"United States of America","31","Coryphaena hippurus",2019,200
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2019,836.155
"Belize","21","Coryphaena hippurus",2018,0
"Canada","21","Coryphaena hippurus",2018,5.045
"Spain","21","Coryphaena hippurus",2018,2
"United States of America","21","Coryphaena hippurus",2018,81
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2018,287.993
"Antigua and Barbuda","31","Coryphaena hippurus",2018,22
"Barbados","31","Coryphaena hippurus",2018,191
"Belize","31","Coryphaena hippurus",2018,0
"Bermuda","31","Coryphaena hippurus",2018,5
"British Virgin Islands","31","Coryphaena hippurus",2018,1
"Costa Rica","31","Coryphaena hippurus",2018,61.711
"Cuba","31","Coryphaena hippurus",2018,16
"Dominica","31","Coryphaena hippurus",2018,209
"Dominican Republic","31","Coryphaena hippurus",2018,278.077
"France","31","Coryphaena hippurus",2018,931.323
"Grenada","31","Coryphaena hippurus",2018,100
"Guadeloupe","31","Coryphaena hippurus",2018,847.249
"Martinique","31","Coryphaena hippurus",2018,84.074
"Mexico","31","Coryphaena hippurus",2018,8
"Other NEI","31","Coryphaena hippurus",2018,0
"Puerto Rico","31","Coryphaena hippurus",2018,37.727
"Saint Kitts and Nevis","31","Coryphaena hippurus",2018,68
"Saint Lucia","31","Coryphaena hippurus",2018,390
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2018,126
"Trinidad and Tobago","31","Coryphaena hippurus",2018,5.76
"United States Virgin Islands","31","Coryphaena hippurus",2018,9.051
"United States of America","31","Coryphaena hippurus",2018,158
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2018,836.155
"Belize","21","Coryphaena hippurus",2017,0
"Canada","21","Coryphaena hippurus",2017,26.134
"Spain","21","Coryphaena hippurus",2017,0
"United States of America","21","Coryphaena hippurus",2017,111
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2017,288.845
"Antigua and Barbuda","31","Coryphaena hippurus",2017,22
"Barbados","31","Coryphaena hippurus",2017,228
"Belize","31","Coryphaena hippurus",2017,0
"Bermuda","31","Coryphaena hippurus",2017,4
"British Virgin Islands","31","Coryphaena hippurus",2017,1
"Costa Rica","31","Coryphaena hippurus",2017,62.963
"Cuba","31","Coryphaena hippurus",2017,16
"Dominica","31","Coryphaena hippurus",2017,228
"Dominican Republic","31","Coryphaena hippurus",2017,421.77
"France","31","Coryphaena hippurus",2017,930.459
"Grenada","31","Coryphaena hippurus",2017,100
"Guadeloupe","31","Coryphaena hippurus",2017,841.337
"Martinique","31","Coryphaena hippurus",2017,89.122
"Mexico","31","Coryphaena hippurus",2017,8
"Other NEI","31","Coryphaena hippurus",2017,0
"Puerto Rico","31","Coryphaena hippurus",2017,21.956
"Saint Kitts and Nevis","31","Coryphaena hippurus",2017,65
"Saint Lucia","31","Coryphaena hippurus",2017,403.089
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2017,105
"Trinidad and Tobago","31","Coryphaena hippurus",2017,7.556
"United States Virgin Islands","31","Coryphaena hippurus",2017,35.922
"United States of America","31","Coryphaena hippurus",2017,183
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2017,836.156
"Belize","21","Coryphaena hippurus",2016,9
"Canada","21","Coryphaena hippurus",2016,6.621
"Spain","21","Coryphaena hippurus",2016,0
"United States of America","21","Coryphaena hippurus",2016,196
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2016,278.945
"Antigua and Barbuda","31","Coryphaena hippurus",2016,22
"Barbados","31","Coryphaena hippurus",2016,405
"Belize","31","Coryphaena hippurus",2016,0
"Bermuda","31","Coryphaena hippurus",2016,3
"British Virgin Islands","31","Coryphaena hippurus",2016,1
"Costa Rica","31","Coryphaena hippurus",2016,108.259
"Cuba","31","Coryphaena hippurus",2016,19
"Dominica","31","Coryphaena hippurus",2016,186
"Dominican Republic","31","Coryphaena hippurus",2016,392.698
"France","31","Coryphaena hippurus",2016,928.375
"Grenada","31","Coryphaena hippurus",2016,100
"Guadeloupe","31","Coryphaena hippurus",2016,830.194
"Martinique","31","Coryphaena hippurus",2016,98.18
"Mexico","31","Coryphaena hippurus",2016,7
"Other NEI","31","Coryphaena hippurus",2016,0
"Puerto Rico","31","Coryphaena hippurus",2016,34.099
"Saint Kitts and Nevis","31","Coryphaena hippurus",2016,64
"Saint Lucia","31","Coryphaena hippurus",2016,435.344
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2016,6
"Trinidad and Tobago","31","Coryphaena hippurus",2016,20.671
"United States Virgin Islands","31","Coryphaena hippurus",2016,31.273
"United States of America","31","Coryphaena hippurus",2016,231
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2016,812.055
"Belize","21","Coryphaena hippurus",2015,0
"Canada","21","Coryphaena hippurus",2015,15.019
"Spain","21","Coryphaena hippurus",2015,1
"United States of America","21","Coryphaena hippurus",2015,176
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2015,322.345
"Antigua and Barbuda","31","Coryphaena hippurus",2015,22
"Barbados","31","Coryphaena hippurus",2015,373
"Belize","31","Coryphaena hippurus",2015,0
"Bermuda","31","Coryphaena hippurus",2015,4
"British Virgin Islands","31","Coryphaena hippurus",2015,1
"Costa Rica","31","Coryphaena hippurus",2015,27
"Cuba","31","Coryphaena hippurus",2015,22
"Dominica","31","Coryphaena hippurus",2015,295
"Dominican Republic","31","Coryphaena hippurus",2015,199.365
"France","31","Coryphaena hippurus",2015,728.399
"Grenada","31","Coryphaena hippurus",2015,105
"Guadeloupe","31","Coryphaena hippurus",2015,644.523
"Martinique","31","Coryphaena hippurus",2015,83.876
"Mexico","31","Coryphaena hippurus",2015,7
"Other NEI","31","Coryphaena hippurus",2015,4
"Puerto Rico","31","Coryphaena hippurus",2015,38.962
"Saint Kitts and Nevis","31","Coryphaena hippurus",2015,52
"Saint Lucia","31","Coryphaena hippurus",2015,505.439
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2015,0
"Trinidad and Tobago","31","Coryphaena hippurus",2015,23.651
"United States Virgin Islands","31","Coryphaena hippurus",2015,27.708
"United States of America","31","Coryphaena hippurus",2015,343
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2015,967.655
"Belize","21","Coryphaena hippurus",2014,0
"Canada","21","Coryphaena hippurus",2014,13
"Spain","21","Coryphaena hippurus",2014,2
"United States of America","21","Coryphaena hippurus",2014,239
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2014,352.831
"Antigua and Barbuda","31","Coryphaena hippurus",2014,59
"Barbados","31","Coryphaena hippurus",2014,278
"Belize","31","Coryphaena hippurus",2014,0
"Bermuda","31","Coryphaena hippurus",2014,4
"British Virgin Islands","31","Coryphaena hippurus",2014,1
"Costa Rica","31","Coryphaena hippurus",2014,27
"Cuba","31","Coryphaena hippurus",2014,22
"Dominica","31","Coryphaena hippurus",2014,278
"Dominican Republic","31","Coryphaena hippurus",2014,137.12
"France","31","Coryphaena hippurus",2014,544.691
"Grenada","31","Coryphaena hippurus",2014,111
"Guadeloupe","31","Coryphaena hippurus",2014,442.784
"Martinique","31","Coryphaena hippurus",2014,101.907
"Mexico","31","Coryphaena hippurus",2014,5
"Other NEI","31","Coryphaena hippurus",2014,4
"Puerto Rico","31","Coryphaena hippurus",2014,34.518
"Saint Kitts and Nevis","31","Coryphaena hippurus",2014,19
"Saint Lucia","31","Coryphaena hippurus",2014,406.867
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2014,48
"Trinidad and Tobago","31","Coryphaena hippurus",2014,0.502
"United States Virgin Islands","31","Coryphaena hippurus",2014,31.635
"United States of America","31","Coryphaena hippurus",2014,375
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2014,1147.169
"Belize","21","Coryphaena hippurus",2013,0
"Canada","21","Coryphaena hippurus",2013,33
"Spain","21","Coryphaena hippurus",2013,0
"United States of America","21","Coryphaena hippurus",2013,106
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2013,362.838
"Antigua and Barbuda","31","Coryphaena hippurus",2013,11
"Barbados","31","Coryphaena hippurus",2013,514
"Belize","31","Coryphaena hippurus",2013,0
"Bermuda","31","Coryphaena hippurus",2013,3
"British Virgin Islands","31","Coryphaena hippurus",2013,1
"Costa Rica","31","Coryphaena hippurus",2013,19
"Cuba","31","Coryphaena hippurus",2013,23
"Dominica","31","Coryphaena hippurus",2013,107
"Dominican Republic","31","Coryphaena hippurus",2013,142.036
"France","31","Coryphaena hippurus",2013,1474
"Grenada","31","Coryphaena hippurus",2013,148
"Guadeloupe","31","Coryphaena hippurus",2013,847.718
"Martinique","31","Coryphaena hippurus",2013,63.857
"Mexico","31","Coryphaena hippurus",2013,2
"Other NEI","31","Coryphaena hippurus",2013,3
"Puerto Rico","31","Coryphaena hippurus",2013,33.876
"Saint Kitts and Nevis","31","Coryphaena hippurus",2013,74
"Saint Lucia","31","Coryphaena hippurus",2013,387
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2013,86
"Trinidad and Tobago","31","Coryphaena hippurus",2013,12.701
"United States Virgin Islands","31","Coryphaena hippurus",2013,20.124
"United States of America","31","Coryphaena hippurus",2013,271
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2013,1137.162
"Belize","21","Coryphaena hippurus",2012,0
"Canada","21","Coryphaena hippurus",2012,13
"Spain","21","Coryphaena hippurus",2012,0
"United States of America","21","Coryphaena hippurus",2012,152
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2012,378.8
"Antigua and Barbuda","31","Coryphaena hippurus",2012,25
"Barbados","31","Coryphaena hippurus",2012,459
"Belize","31","Coryphaena hippurus",2012,0
"Bermuda","31","Coryphaena hippurus",2012,5
"British Virgin Islands","31","Coryphaena hippurus",2012,1
"Costa Rica","31","Coryphaena hippurus",2012,17
"Cuba","31","Coryphaena hippurus",2012,42
"Dominica","31","Coryphaena hippurus",2012,136
"Dominican Republic","31","Coryphaena hippurus",2012,140
"France","31","Coryphaena hippurus",2012,1360
"Grenada","31","Coryphaena hippurus",2012,183
"Guadeloupe","31","Coryphaena hippurus",2012,775.863
"Martinique","31","Coryphaena hippurus",2012,146.749
"Mexico","31","Coryphaena hippurus",2012,2
"Other NEI","31","Coryphaena hippurus",2012,0
"Puerto Rico","31","Coryphaena hippurus",2012,44.901
"Saint Kitts and Nevis","31","Coryphaena hippurus",2012,35
"Saint Lucia","31","Coryphaena hippurus",2012,504
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2012,84
"Trinidad and Tobago","31","Coryphaena hippurus",2012,0.369
"United States Virgin Islands","31","Coryphaena hippurus",2012,16.724
"United States of America","31","Coryphaena hippurus",2012,274
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2012,1201.2
"Canada","21","Coryphaena hippurus",2011,7
"Spain","21","Coryphaena hippurus",2011,0
"United States of America","21","Coryphaena hippurus",2011,60
"Antigua and Barbuda","31","Coryphaena hippurus",2011,3
"Barbados","31","Coryphaena hippurus",2011,505
"Belize","31","Coryphaena hippurus",2011,0
"Bermuda","31","Coryphaena hippurus",2011,4
"British Virgin Islands","31","Coryphaena hippurus",2011,1
"Costa Rica","31","Coryphaena hippurus",2011,7
"Cuba","31","Coryphaena hippurus",2011,38
"Dominica","31","Coryphaena hippurus",2011,149
"Dominican Republic","31","Coryphaena hippurus",2011,517
"France","31","Coryphaena hippurus",2011,1737
"Grenada","31","Coryphaena hippurus",2011,189
"Guadeloupe","31","Coryphaena hippurus",2011,1091.977
"Martinique","31","Coryphaena hippurus",2011,146.2
"Mexico","31","Coryphaena hippurus",2011,10
"Other NEI","31","Coryphaena hippurus",2011,0
"Puerto Rico","31","Coryphaena hippurus",2011,45.245
"Saint Kitts and Nevis","31","Coryphaena hippurus",2011,22
"Saint Lucia","31","Coryphaena hippurus",2011,473
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2011,96
"United States Virgin Islands","31","Coryphaena hippurus",2011,21.849
"United States of America","31","Coryphaena hippurus",2011,346
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2011,1535
"Canada","21","Coryphaena hippurus",2010,20
"Spain","21","Coryphaena hippurus",2010,0
"United States of America","21","Coryphaena hippurus",2010,128
"Antigua and Barbuda","31","Coryphaena hippurus",2010,2
"Barbados","31","Coryphaena hippurus",2010,465
"Belize","31","Coryphaena hippurus",2010,0
"Bermuda","31","Coryphaena hippurus",2010,4
"British Virgin Islands","31","Coryphaena hippurus",2010,1
"Costa Rica","31","Coryphaena hippurus",2010,5
"Cuba","31","Coryphaena hippurus",2010,32
"Dominica","31","Coryphaena hippurus",2010,180
"Dominican Republic","31","Coryphaena hippurus",2010,259
"France","31","Coryphaena hippurus",2010,819
"Grenada","31","Coryphaena hippurus",2010,132
"Guadeloupe","31","Coryphaena hippurus",2010,708.378
"Martinique","31","Coryphaena hippurus",2010,71.666
"Mexico","31","Coryphaena hippurus",2010,2
"Other NEI","31","Coryphaena hippurus",2010,0
"Puerto Rico","31","Coryphaena hippurus",2010,19.541
"Saint Kitts and Nevis","31","Coryphaena hippurus",2010,11
"Saint Lucia","31","Coryphaena hippurus",2010,352
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2010,72
"United States Virgin Islands","31","Coryphaena hippurus",2010,26.13
"United States of America","31","Coryphaena hippurus",2010,202
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2010,900
"Canada","21","Coryphaena hippurus",2009,0
"Spain","21","Coryphaena hippurus",2009,0
"United States of America","21","Coryphaena hippurus",2009,333
"Antigua and Barbuda","31","Coryphaena hippurus",2009,3
"Barbados","31","Coryphaena hippurus",2009,870
"Belize","31","Coryphaena hippurus",2009,0
"Bermuda","31","Coryphaena hippurus",2009,4
"British Virgin Islands","31","Coryphaena hippurus",2009,1
"Costa Rica","31","Coryphaena hippurus",2009,4
"Cuba","31","Coryphaena hippurus",2009,28
"Dominica","31","Coryphaena hippurus",2009,201
"Dominican Republic","31","Coryphaena hippurus",2009,241
"France","31","Coryphaena hippurus",2009,372
"Grenada","31","Coryphaena hippurus",2009,195
"Guadeloupe","31","Coryphaena hippurus",2009,876.85
"Martinique","31","Coryphaena hippurus",2009,48.097
"Mexico","31","Coryphaena hippurus",2009,2
"Other NEI","31","Coryphaena hippurus",2009,0
"Puerto Rico","31","Coryphaena hippurus",2009,49
"Saint Kitts and Nevis","31","Coryphaena hippurus",2009,11
"Saint Lucia","31","Coryphaena hippurus",2009,465
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2009,118
"United States Virgin Islands","31","Coryphaena hippurus",2009,31
"United States of America","31","Coryphaena hippurus",2009,405
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2009,1520
"Canada","21","Coryphaena hippurus",2008,0
"Spain","21","Coryphaena hippurus",2008,0
"United States of America","21","Coryphaena hippurus",2008,157
"Antigua and Barbuda","31","Coryphaena hippurus",2008,62
"Barbados","31","Coryphaena hippurus",2008,693
"Belize","31","Coryphaena hippurus",2008,0
"Bermuda","31","Coryphaena hippurus",2008,5
"British Virgin Islands","31","Coryphaena hippurus",2008,1
"Costa Rica","31","Coryphaena hippurus",2008,2
"Cuba","31","Coryphaena hippurus",2008,16
"Dominica","31","Coryphaena hippurus",2008,125
"Dominican Republic","31","Coryphaena hippurus",2008,363
"France","31","Coryphaena hippurus",2008,0
"Grenada","31","Coryphaena hippurus",2008,146
"Guadeloupe","31","Coryphaena hippurus",2008,682.716
"Martinique","31","Coryphaena hippurus",2008,42.163
"Mexico","31","Coryphaena hippurus",2008,2
"Other NEI","31","Coryphaena hippurus",2008,0
"Puerto Rico","31","Coryphaena hippurus",2008,50
"Saint Kitts and Nevis","31","Coryphaena hippurus",2008,10
"Saint Lucia","31","Coryphaena hippurus",2008,341
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2008,91
"United States Virgin Islands","31","Coryphaena hippurus",2008,34
"United States of America","31","Coryphaena hippurus",2008,328
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2008,1471
"Canada","21","Coryphaena hippurus",2007,0
"Spain","21","Coryphaena hippurus",2007,0
"United States of America","21","Coryphaena hippurus",2007,219
"Antigua and Barbuda","31","Coryphaena hippurus",2007,10
"Barbados","31","Coryphaena hippurus",2007,428
"Belize","31","Coryphaena hippurus",2007,0
"Bermuda","31","Coryphaena hippurus",2007,4
"British Virgin Islands","31","Coryphaena hippurus",2007,1
"Costa Rica","31","Coryphaena hippurus",2007,2
"Cuba","31","Coryphaena hippurus",2007,23
"Dominica","31","Coryphaena hippurus",2007,170
"Dominican Republic","31","Coryphaena hippurus",2007,1009
"France","31","Coryphaena hippurus",2007,0
"Grenada","31","Coryphaena hippurus",2007,206
"Guadeloupe","31","Coryphaena hippurus",2007,520
"Martinique","31","Coryphaena hippurus",2007,130
"Mexico","31","Coryphaena hippurus",2007,75
"Other NEI","31","Coryphaena hippurus",2007,0
"Puerto Rico","31","Coryphaena hippurus",2007,40
"Saint Kitts and Nevis","31","Coryphaena hippurus",2007,10
"Saint Lucia","31","Coryphaena hippurus",2007,512
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2007,155
"United States Virgin Islands","31","Coryphaena hippurus",2007,19
"United States of America","31","Coryphaena hippurus",2007,336
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2007,1286
"Canada","21","Coryphaena hippurus",2006,0
"Spain","21","Coryphaena hippurus",2006,0
"United States of America","21","Coryphaena hippurus",2006,94
"Antigua and Barbuda","31","Coryphaena hippurus",2006,9
"Barbados","31","Coryphaena hippurus",2006,476
"Belize","31","Coryphaena hippurus",2006,0
"Bermuda","31","Coryphaena hippurus",2006,5
"British Virgin Islands","31","Coryphaena hippurus",2006,1
"Costa Rica","31","Coryphaena hippurus",2006,2
"Cuba","31","Coryphaena hippurus",2006,30
"Dominica","31","Coryphaena hippurus",2006,177
"France","31","Coryphaena hippurus",2006,0
"Grenada","31","Coryphaena hippurus",2006,134
"Guadeloupe","31","Coryphaena hippurus",2006,540
"Martinique","31","Coryphaena hippurus",2006,185
"Mexico","31","Coryphaena hippurus",2006,214
"Other NEI","31","Coryphaena hippurus",2006,0
"Puerto Rico","31","Coryphaena hippurus",2006,41
"Saint Kitts and Nevis","31","Coryphaena hippurus",2006,9
"Saint Lucia","31","Coryphaena hippurus",2006,382
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2006,75
"United States Virgin Islands","31","Coryphaena hippurus",2006,31
"United States of America","31","Coryphaena hippurus",2006,226
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2006,1327
"Canada","21","Coryphaena hippurus",2005,0
"Spain","21","Coryphaena hippurus",2005,0
"United States of America","21","Coryphaena hippurus",2005,81
"Antigua and Barbuda","31","Coryphaena hippurus",2005,13
"Barbados","31","Coryphaena hippurus",2005,357
"Belize","31","Coryphaena hippurus",2005,0
"Bermuda","31","Coryphaena hippurus",2005,4
"British Virgin Islands","31","Coryphaena hippurus",2005,1
"Costa Rica","31","Coryphaena hippurus",2005,1
"Cuba","31","Coryphaena hippurus",2005,339
"Dominica","31","Coryphaena hippurus",2005,53
"Dominican Republic","31","Coryphaena hippurus",2005,163
"France","31","Coryphaena hippurus",2005,0
"Grenada","31","Coryphaena hippurus",2005,86
"Guadeloupe","31","Coryphaena hippurus",2005,560
"Martinique","31","Coryphaena hippurus",2005,200
"Mexico","31","Coryphaena hippurus",2005,205
"Other NEI","31","Coryphaena hippurus",2005,0
"Puerto Rico","31","Coryphaena hippurus",2005,39
"Saint Kitts and Nevis","31","Coryphaena hippurus",2005,9
"Saint Lucia","31","Coryphaena hippurus",2005,198
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2005,45
"United States Virgin Islands","31","Coryphaena hippurus",2005,23
"United States of America","31","Coryphaena hippurus",2005,202
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2005,1843
"Canada","21","Coryphaena hippurus",2004,0
"Spain","21","Coryphaena hippurus",2004,0
"United States of America","21","Coryphaena hippurus",2004,161
"Antigua and Barbuda","31","Coryphaena hippurus",2004,10
"Barbados","31","Coryphaena hippurus",2004,455
"Belize","31","Coryphaena hippurus",2004,0
"Bermuda","31","Coryphaena hippurus",2004,3
"British Virgin Islands","31","Coryphaena hippurus",2004,1
"Costa Rica","31","Coryphaena hippurus",2004,1
"Cuba","31","Coryphaena hippurus",2004,339
"Dominica","31","Coryphaena hippurus",2004,118
"Dominican Republic","31","Coryphaena hippurus",2004,221
"France","31","Coryphaena hippurus",2004,0
"Grenada","31","Coryphaena hippurus",2004,164
"Guadeloupe","31","Coryphaena hippurus",2004,580
"Martinique","31","Coryphaena hippurus",2004,220
"Mexico","31","Coryphaena hippurus",2004,227
"Other NEI","31","Coryphaena hippurus",2004,0
"Puerto Rico","31","Coryphaena hippurus",2004,57
"Saint Kitts and Nevis","31","Coryphaena hippurus",2004,8
"Saint Lucia","31","Coryphaena hippurus",2004,376
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2004,66
"United States Virgin Islands","31","Coryphaena hippurus",2004,31
"United States of America","31","Coryphaena hippurus",2004,317
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2004,950
"Canada","21","Coryphaena hippurus",2003,0
"Spain","21","Coryphaena hippurus",2003,0
"United States of America","21","Coryphaena hippurus",2003,115
"Antigua and Barbuda","31","Coryphaena hippurus",2003,7
"Barbados","31","Coryphaena hippurus",2003,458
"Belize","31","Coryphaena hippurus",2003,0
"Bermuda","31","Coryphaena hippurus",2003,6
"British Virgin Islands","31","Coryphaena hippurus",2003,2
