"","Brazil.EEZ","Canadian.EEZ","Eastern.Central.Atlantic.EEZs","Mediterranean.Sea.EEZs","Northeast.Atlantic.EEZs","other.oceans","Southeast.Atlantic.EEZs","Southwest.Atlantic.EEZs","United.States.EEZ","Western.Central.Atlantic.EEZs"
"1966",3587917.41373907,NA,862638.491649349,34157005.5416745,1550273.3468493,69095832.6794886,NA,NA,3977327.83531084,3739143.3744203
"1967",3534387.34580853,NA,923749.081223133,38103415.4911408,1477089.03494085,75771991.6000711,NA,NA,4234482.33655741,4826409.91706183
"1968",3624547.67724798,NA,756733.627504606,36862915.4718061,1439459.58808014,63026059.8859162,NA,NA,4277636.8115523,4984714.70412925
"1969",3169703.73013823,NA,738534.568669955,31249706.8462364,1495171.93189134,73888359.5970622,NA,NA,4379747.32187471,5679180.02068
"1970",4276142.75776948,NA,765073.29552743,24969820.362695,2341153.8788835,62010093.7823961,NA,NA,4546592.90390323,5986487.18107991
"1971",3792175.01036503,NA,493251.242407363,25489344.0673631,2430049.13742705,49113386.5496137,NA,NA,4940240.71147227,6687071.39433797
"1972",4565681.72901069,NA,330808.996998422,27151653.9674426,2479101.68201065,61626035.8547489,NA,NA,5371696.98092409,7019798.7475331
"1973",5231437.71180047,NA,523455.557012823,26358682.5227971,2486366.16255357,89323536.0109062,NA,NA,5812479.67312173,5998656.75802297
"1974",5454926.57093614,NA,345427.498391775,24555157.4352061,2512390.41876689,75256673.6431358,NA,NA,6242192.82721647,5966109.19685062
"1975",5756113.41872324,NA,349866.470175759,34435822.8985275,2685411.43941192,78969106.2194478,NA,NA,6705422.06743768,6277046.88621746
"1976",5169607.19005379,NA,349539.950781344,38284502.5384485,2931634.9052667,92101744.5443082,NA,NA,7595451.16235761,6878850.23865199
"1977",7565541.58196342,NA,388516.357787566,38644962.5867538,2927256.08514654,102134677.137535,NA,NA,8492909.99229499,8066091.0700632
"1978",10318121.063149,NA,429058.55467724,43462874.7164787,2942742.25870212,101158468.826988,NA,NA,9478472.84541016,8143920.25508821
"1979",9243253.56970731,NA,394329.194612949,37348207.7833376,2911537.96791082,113046524.744483,NA,NA,10321618.1620681,6910908.56740914
"1980",9158134.00591356,NA,416839.98951846,34739063.5660091,2898149.32700072,84009111.9023423,NA,NA,11276106.0899664,7287988.63927646
"1981",9318699.51484141,NA,403302.242142426,35580017.8802769,2942528.51949879,92024631.2329385,NA,NA,9559892.49779483,6991141.6497582
"1982",9578714.06663289,NA,434454.882630747,40957601.2937604,3119462.65044575,126462706.62966,NA,NA,12205541.1178544,7723420.28308642
"1983",11322401.7923795,NA,478033.252515528,39180297.7463839,2943715.29448932,121679473.525626,NA,NA,11701644.8777582,7857519.22417233
"1984",18673371.4933216,NA,411932.944182215,41243203.5780522,2730446.01700819,91346881.3773898,NA,NA,8936779.11969736,7571172.92704634
"1985",17090873.9694884,NA,399533.994356484,34997832.1482776,2763325.11812897,101927612.963508,128.869538487118,NA,9792174.63277174,7712564.58832627
"1986",16421227.8497684,NA,369435.459618614,35371499.1428408,2771018.6876143,113702027.533148,NA,NA,12591960.7133262,6328136.94457052
"1987",16212755.494569,NA,416277.495698798,30816156.9579018,2743017.12395868,170149776.15083,13668.644,NA,11897465.9076114,5200426.75147637
"1988",13227701.8290169,NA,452691.467174787,28323747.0383549,2817610.25340508,125644940.586231,NA,NA,5316254.7198374,5897692.94255597
"1989",11189229.5747206,NA,503898.26935474,25949463.9691713,2881297.15607568,159844730.763903,NA,NA,28920714.5864216,6049085.71312758
"1990",9001324.98349895,NA,514875.862424251,24938436.0917426,2688956.41327427,156775431.383228,NA,NA,25148285.655231,6879410.35366396
"1991",9203086.21936652,NA,575135.07950793,20377973.7258034,2883359.47793684,225597600.242157,NA,NA,31902105.9846085,7394509.00426589
"1992",9561877.69934773,NA,587183.629617542,18936893.1811759,2993412.7307743,248003568.240502,NA,NA,21595094.7120181,7690428.72222446
"1993",9750056.17851951,NA,621560.335240875,20264488.7711408,3116999.65264517,222955391.816428,NA,NA,18550847.3380917,7666749.31337112
"1994",10052667.0192282,NA,553303.9446793,22230066.3398872,3520564.47682585,187055207.018898,NA,NA,18995706.1084337,8126076.34322004
"1995",10815100.4235655,NA,1228978.40015001,25468136.696462,3287973.40882467,268825040.172058,2204.62,NA,29217090.0393989,8498525.24816234
"1996",8926633.30545695,NA,1433534.91282046,24293964.5650876,2896407.7640557,147144396.006682,2204.62,NA,19080652.7402667,9827383.49650016
"1997",12850266.89602,NA,1353846.1618579,22823987.1786853,3026578.60738185,228672617.078776,2204.62,NA,35899680.0569148,13268452.4013607
"1998",11742639.3580159,NA,1402071.8964123,29151727.330404,2874286.14980585,388539720.514973,2204.62,NA,20707347.4445121,11457677.7470641
"1999",13531728.8102426,NA,1544540.0016371,25945715.0586589,2853550.20367763,217733084.710454,2204.62,NA,23697104.6106422,11112124.434694
"2000",17113119.5263173,NA,1281146.85380362,21390530.7900405,2728864.72825813,206538742.357472,2204.62,NA,24464477.525631,9778228.79915527
"2001",17028579.7485257,NA,1767293.73459054,18915412.7432755,2852038.3870045,293401382.779727,3284.8838,NA,23851935.7742661,10432032.9712872
"2002",20071376.1740416,NA,1672223.42861915,18017952.1041928,2578626.3950589,288161931.334523,4938.3488,NA,20155528.9139854,11306883.9219933
"2003",24225923.4903726,NA,1319943.71277325,21356354.3586867,2487729.72424343,283249327.876784,10405.8064,110.323394080966,18633148.1062464,10578032.5252448
"2004",24268933.9338909,NA,1454887.10634781,18694744.603851,2469715.01793097,326773919.115995,3284.8838,65032.3361535824,13770738.4866711,11669935.4826246
"2005",24880721.4806122,NA,1210210.53563623,16031122.4899933,2450621.08569892,314540732.87634,6018.6126,553093.321685835,14033860.6079192,13347452.1923907
"2006",26650922.4854915,NA,1443275.85670668,17087896.7870581,2750165.36148125,318722963.555911,12610.4264,85979.5193000777,17811849.5504262,12029694.2116802
"2007",31215009.2712898,42.750730658746,1313323.81283999,12605579.7458472,2675011.10760852,308934483.458254,13734.0446784121,378014.000656527,18610211.6570893,11021185.9693877
"2008",20362965.7186466,181.99279526373,1293818.05120098,13336363.0256223,2614830.33263132,380937962.136726,9439.22731889069,56079.2385347225,15899053.3433003,11050515.353672
"2009",25121600.1069497,51.450815950886,965153.874262264,17459760.100209,2825783.69757909,408209613.395159,34010.2952678296,368815.058150588,20520511.6202616,11491847.4046469
"2010",28411809.4870438,44092.4,1119138.42103947,16692070.9951519,3649880.25820961,405459245.460638,29731.8919054081,2538.11190905169,22326607.7843103,11968055.9062532
"2011",16673227.9549167,15459.7792512341,1078516.50844558,10238759.9124456,5049241.84632095,359886244.630482,33109.2148150762,292714.958035161,33136792.2945279,12401097.8529704
"2012",6561747.14402456,29140.1759455313,1114789.34904063,9324724.07960963,3781935.07030869,470773557.147341,53406.8138460116,6163.04724004213,30464112.9638105,10676738.1534117
"2013",4821586.56727772,74360.4022317414,10214130.0204352,11145522.2686316,5467738.53814023,438920917.577794,284370.239137528,446.342445149546,17855122.7919046,13989752.9571709
"2014",4850556.76469428,531022.551891492,9921211.87111244,6801723.64914461,3764266.35425276,472752945.947835,215966.948843586,45414.6730433468,22568009.4886994,15537981.994852
"2015",3235222.91264612,38945.7623711081,11054072.5573181,11459897.6381031,5676505.61917512,403125259.650536,418346.295669608,221598.98908795,33486765.1396548,19339421.4600081
"2016",5328567.7034214,354370.650540575,6405593.70378797,9738308.02867424,4245126.84626416,355357597.939068,436689.842547474,2534.44844393697,22236945.7470306,19155625.4156086
"2017",6114291.41607739,83776.8759837546,5157593.49934337,8830276.63344332,4211179.83036005,312516413.655788,6522.66407995913,103160.588849856,18168196.1617925,21104120.8528024
"2018",7134174.97673948,12588.8812964574,10042717.8293054,11274053.8675259,5392077.74613072,388503851.390374,4766.3635452105,1056.14085369201,21983078.5317177,22468735.8772166
"2019",5818367.47146501,36112.1850268345,4450404.03111577,10226153.762136,4450611.80131993,375822542.569545,9682.33270503352,64234.2636875679,17905410.7791125,21155173.0249845
