area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northwest",high_seas,1950,"Melanogrammus aeglefinus","Haddock","Medium demersals (30 - 89 cm)","Cod-likes","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.0087060703,0.020380296004800368
"Atlantic, Northwest",high_seas,1950,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,4.2682361920
"Atlantic, Northwest",high_seas,1950,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,2.6339051150
"Atlantic, Northwest",high_seas,1950,"Hippoglossoides platessoides","American plaice","Small to medium flatfishes (<90 cm)","Flatfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,154.0032021000
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Germany",Industrial,Discards,Unreported,bottom trawl,,213.1835650351
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Portugal",Industrial,Discards,Unreported,bottom trawl,,738.8993863050
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Discards,Unreported,bottom trawl,,366.6453272652
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,5.7982428111,2962.1554141536244
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0029020234,4.071758844262919e-05
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.0029020234,4.071758844262919e-05
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,purse seine,,0.0000416952
"Atlantic, Northwest",high_seas,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,gillnet,,0.0000405400
"Atlantic, Northwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0000050422,1.1036237869107737e-06
"Atlantic, Northwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0001210122,2.648697088585876e-05
"Atlantic, Northwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0044963588,0.0009841565119776867
"Atlantic, Northwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0000214292,4.69040109437082e-06
"Atlantic, Northwest",high_seas,1951,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0000189082,4.138589200915403e-06
"Atlantic, Northwest",high_seas,1951,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,17.9960392271
"Atlantic, Northwest",high_seas,1951,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,64.1055162238
"Atlantic, Northwest",high_seas,1951,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,21.8741907751
"Atlantic, Northwest",high_seas,1951,"Squalus","Dogfishes","Large sharks (>=90 cm)","Sharks & rays","Germany",Industrial,Discards,Unreported,bottom trawl,,1.0700851960
"Atlantic, Northwest",high_seas,1951,"Squalus","Dogfishes","Large sharks (>=90 cm)","Sharks & rays","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.5086627020
"Atlantic, Northwest",high_seas,1951,"Squalus","Dogfishes","Large sharks (>=90 cm)","Sharks & rays","Spain",Industrial,Discards,Unreported,bottom trawl,,21.7882171200
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,11.9572272900
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Germany",Industrial,Landings,Reported,bottom trawl,Direct human consumption,11.9452700627,11426.073257068829
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Germany",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0059786136,0.04557642644840651
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Germany",Industrial,Landings,Reported,bottom trawl,Other,0.0059786136,0.04557642644840651
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,5.6838423420
"Atlantic, Northwest",high_seas,1951,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,243.4634787000
"Atlantic, Northwest",high_seas,1951,"Lycodes","Eelpouts","Medium bathydemersals (30 - 89 cm)","Perch-likes","Germany",Industrial,Discards,Unreported,bottom trawl,,2.1401703920
"Atlantic, Northwest",high_seas,1951,"Lycodes","Eelpouts","Medium bathydemersals (30 - 89 cm)","Perch-likes","Portugal",Industrial,Discards,Unreported,bottom trawl,,1.0173254050
"Atlantic, Northwest",high_seas,1951,"Lycodes","Eelpouts","Medium bathydemersals (30 - 89 cm)","Perch-likes","Spain",Industrial,Discards,Unreported,bottom trawl,,43.5764342400
"Atlantic, Northwest",high_seas,1951,"Cyclopterus lumpus","Lumpfish","Medium benthopelagics (30 - 89 cm)","Scorpionfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,1.0700851960
"Atlantic, Northwest",high_seas,1951,"Cyclopterus lumpus","Lumpfish","Medium benthopelagics (30 - 89 cm)","Scorpionfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,0.5086627020
"Atlantic, Northwest",high_seas,1951,"Cyclopterus lumpus","Lumpfish","Medium benthopelagics (30 - 89 cm)","Scorpionfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,21.7882171200
"Atlantic, Northwest",high_seas,1951,"Gadus morhua","Atlantic cod","Large benthopelagics (>=90 cm)","Cod-likes","Germany",Industrial,Discards,Unreported,bottom trawl,,0.7252144450
