area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,artisanal fishing gear,Fishmeal and fish oil,0.3436660756,0.0018833691372338454
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,gillnet,Fishmeal and fish oil,0.0205953260,0.0001128671236433163
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,pelagic trawl,Fishmeal and fish oil,0.0699310148,0.0003832380455048852
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,purse seine,Direct human consumption,119.7842234295,220051.7885624657
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,pelagic trawl,Direct human consumption,139.7221676679,256679.15203585732
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale lines,Direct human consumption,797.1778873746,1464470.1522192531
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,432.0838129047,793767.4354465773
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Industrial,Landings,Reported,gillnet,Direct human consumption,41.1494614349,75594.36733721526
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,834.0222435138,1532155.7474899697
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Artisanal,Landings,Reported,artisanal fishing gear,Direct human consumption,686.6448189571,1261413.366407343
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Direct human consumption,30.3577969485,60180.75199105051
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Landings,Reported,small scale other nets,Direct human consumption,94.7801892101,187890.54654399818
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Reported,purse seine,Direct human consumption,248.9049218745,493424.6512718014
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Discards,Unreported,bottom trawl,,6.7572527460
"Taiwan",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Artisanal,Discards,Unreported,small scale other nets,,2.5042376702
