area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Western Central",high_seas,1978,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Panama",Industrial,Landings,Reported,longline,Direct human consumption,0.5910263667,327.3022457186527
"Atlantic, Western Central",high_seas,1978,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,pole and line,Direct human consumption,0.0771308799,63.9866749996643
"Atlantic, Western Central",high_seas,1978,"Kajikia albida","Atlantic white marlin","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,21.8159509202,18098.200915337424
"Atlantic, Western Central",high_seas,1978,"Tetrapturus pfluegeri","Longbill spearfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,0.8640979284,454.86797587729495
"Atlantic, Western Central",high_seas,1978,"Tetrapturus pfluegeri","Longbill spearfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,0.5987460784,326.56413434027525
"Atlantic, Western Central",high_seas,1978,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,52.9718286638,413214.1655481253
"Atlantic, Western Central",high_seas,1978,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,38.3802305343,310199.61612168007
"Atlantic, Western Central",high_seas,1978,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Panama",Industrial,Landings,Reported,longline,Direct human consumption,8.4898960824,69671.05022577767
"Atlantic, Western Central",high_seas,1978,"Xiphias gladius","Swordfish","Large pelagics (>=90 cm)","Tuna & billfishes","Venezuela",Industrial,Landings,Reported,longline,Direct human consumption,7.9018404908,97139.85374233122
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Barbados",Industrial,Discards,Unreported,longline,,4.2249758972
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Barbados",Industrial,Discards,Unreported,unknown by source,,6.5406969310
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Taiwan",Industrial,Discards,Unreported,longline,,38.7373582469
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Cuba",Industrial,Discards,Unreported,longline,,0.0000676712
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Germany",Industrial,Discards,Unreported,unknown by source,,0.5045161515
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Discards,Unreported,longline,,919.2582233808
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Aruba (Netherlands)",Industrial,Discards,Unreported,unknown by source,,0.0199554114
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Discards,Unreported,longline,,64.2956081398
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Trinidad & Tobago",Industrial,Discards,Unreported,unknown by source,,14.3632623846
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,purse seine,,0.0718216608
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Discards,Unreported,longline,,217.3264907968
"Atlantic, Western Central",high_seas,1979,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Industrial,Discards,Unreported,purse seine,,0.0694219878
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Taiwan",Industrial,Landings,Reported,longline,Direct human consumption,18.6331487882,33428.2415889366
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Reported,longline,Direct human consumption,4.4136619878,8417.060852895931
"Atlantic, Western Central",high_seas,1979,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","Panama",Industrial,Landings,Reported,pole and line,Direct human consumption,0.2488360452,3.2646975342891245
