"X","Y","region"
-71.4720848359461,34.8714883736903,"NCFL"
-71.4757486739616,34.8550794893277,"NCFL"
-71.4795104607388,34.8386854230945,"NCFL"
-71.4833698131658,34.8223070527289,"NCFL"
-71.4873266359151,34.8059446282427,"NCFL"
-71.4913809298856,34.7895984760896,"NCFL"
-71.4955325026224,34.7732690819031,"NCFL"
-71.499781258798,34.7569568530767,"NCFL"
-71.5041268170987,34.7406619595823,"NCFL"
-71.5085690821971,34.7243851253738,"NCFL"
-71.513107956067,34.7081265995635,"NCFL"
-71.5177432498507,34.6918866339614,"NCFL"
-71.5224746766646,34.6756657942414,"NCFL"
-71.5273023309373,34.6594644877968,"NCFL"
-71.5273561310801,34.659286116262,"NCFL"
-71.5305059561844,34.6465859110118,"NCFL"
-71.5346461569943,34.6302553297201,"NCFL"
-71.5388832561571,34.6139419659494,"NCFL"
-71.5432171556466,34.5976460697109,"NCFL"
-71.5476476657067,34.5813680501962,"NCFL"
-71.5490743663887,34.5762043489522,"NCFL"
-71.5529646797756,34.5622524690768,"NCFL"
-71.5575877418803,34.5460113370542,"NCFL"
-71.5623067463588,34.5297892301895,"NCFL"
-71.5662433100803,34.5165178052532,"NCFL"
-71.5692936575762,34.5058332478068,"NCFL"
-71.5740092221475,34.4896108378705,"NCFL"
-71.5788208217232,34.4734079567125,"NCFL"
-71.583728269244,34.4572248552433,"NCFL"
-71.5887310835724,34.4410620217957,"NCFL"
-71.5938292674066,34.4249198682583,"NCFL"
-71.5990225320638,34.4087987228834,"NCFL"
-71.6043110691002,34.3926989211191,"NCFL"
-71.6096944009755,34.3766210313362,"NCFL"
-71.6151723361342,34.3605652253055,"NCFL"
-71.6207445885915,34.3445319949561,"NCFL"
-71.6264112536761,34.3285218331168,"NCFL"
-71.6321720454033,34.3125349906977,"NCFL"
-71.6380268666462,34.2965718031467,"NCFL"
-71.6439751454362,34.2806329998135,"NCFL"
-71.6500171668585,34.2647183576666,"NCFL"
-71.6561521682877,34.2488288470745,"NCFL"
-71.6623805310363,34.2329645633647,"NCFL"
-71.6687017766654,34.217125761046,"NCFL"
-71.6751156200893,34.2013131721657,"NCFL"
-71.6816220604094,34.1855268929521,"NCFL"
-71.6882209060698,34.169767417133,"NCFL"
-71.6949116804293,34.1540351601951,"NCFL"
-71.7016942872612,34.1383304557866,"NCFL"
-71.7085687247663,34.1226536420528,"NCFL"
-71.7155345190025,34.1070051326811,"NCFL"
-71.7225916672716,34.0913852649187,"NCFL"
-71.7297397882604,34.0757945333914,"NCFL"
-71.7369785941864,34.0602331152667,"NCFL"
-71.7443080859491,34.044701587009,"NCFL"
-71.7517278822356,34.0292001248864,"NCFL"
-71.7592377896919,34.013729227123,"NCFL"
-71.7668376203592,33.9982892300646,"NCFL"
-71.7745272753133,33.9828804709576,"NCFL"
-71.782306087256,33.9675034480265,"NCFL"
-71.7901744383992,33.9521583393365,"NCFL"
-71.7981315634205,33.9368457213538,"NCFL"
-71.806177463219,33.9215656147622,"NCFL"
-71.8143119471381,33.9063188361459,"NCFL"
-71.8225345358397,33.8911053252511,"NCFL"
-71.8308453255509,33.8759256603417,"NCFL"
-71.8392437452023,33.8607804187818,"NCFL"
-71.8477297911966,33.8456693847348,"NCFL"
-71.856302986893,33.8305935330659,"NCFL"
-71.8649635238472,33.8155527252787,"NCFL"
-71.8737106376354,33.8005475414365,"NCFL"
-71.8825444253847,33.7855783205839,"NCFL"
-71.8914642144017,33.7706456427826,"NCFL"
-71.9004703886969,33.7557494495783,"NCFL"
-71.9095620903177,33.7408904010715,"NCFL"
-71.9187395081216,33.7260686780277,"NCFL"
-71.9280021636687,33.7112846212889,"NCFL"
-71.9373496774455,33.6965386508389,"NCFL"
-71.9467820467536,33.6818311093189,"NCFL"
-71.956298794953,33.6671624167126,"NCFL"
-71.9658999229426,33.6525327555827,"NCFL"
-71.9755848551566,33.6379427077901,"NCFL"
-71.9853534027368,33.6233924549987,"NCFL"
-71.9952054685573,33.6088822580102,"NCFL"
-72.0051406713046,33.5944125413064,"NCFL"
-72.0151587240955,33.5799836439307,"NCFL"
-72.0252593391467,33.5655960713021,"NCFL"
-72.0354423267017,33.5512499250448,"NCFL"
-72.0457071138918,33.5369455460009,"NCFL"
-72.0560537942469,33.5226834395897,"NCFL"
-72.0664818920254,33.5084639475539,"NCFL"
-72.0769913101003,33.4942870932751,"NCFL"
-72.0875814756042,33.4801535395549,"NCFL"
-72.0982523894359,33.4660635498935,"NCFL"
-72.1090035722567,33.452017468732,"NCFL"
-72.1198346427542,33.4380155577726,"NCFL"
-72.1307456971559,33.4240580823156,"NCFL"
-72.1417360645674,33.4101453841029,"NCFL"
-72.1528056523584,33.3962779685542,"NCFL"
-72.1639539802917,33.3824560209294,"NCFL"
-72.1751811436945,33.3686798029312,"NCFL"
-72.1864862837145,33.3549496598993,"NCFL"
-72.1978694956803,33.3412660945555,"NCFL"
-72.2093304936068,33.3276293748966,"NCFL"
-72.2208686083991,33.3140396816866,"NCFL"
-72.2324839335863,33.300497362064,"NCFL"
-72.2441761849825,33.287002758671,"NCFL"
-72.2559446916939,33.2735562177461,"NCFL"
-72.2677893601904,33.2601580828298,"NCFL"
-72.2797099980176,33.2468084600428,"NCFL"
-72.2917058398522,33.2335079339446,"NCFL"
-72.3037771752759,33.2202566888959,"NCFL"
-72.3159235240511,33.2070549910959,"NCFL"
-72.3281441217536,33.1939032659236,"NCFL"
-72.3404391608383,33.1808017768809,"NCFL"
-72.3528082581942,33.1677506309873,"NCFL"
-72.3652508409532,33.1547505728814,"NCFL"
-72.3777668128878,33.1418013876245,"NCFL"
-72.3903556955586,33.1289037407154,"NCFL"
-72.4030173963355,33.1160577391742,"NCFL"
-72.4157514349805,33.1032637274397,"NCFL"
-72.4285573330541,33.0905221299929,"NCFL"
-72.4414351876834,33.0778331347922,"NCFL"
